iter,loss,cos_to_init,cos_to_prev,eff_dim,lat_low,lat_mid,lat_high,ks_stat,ks_p,wasserstein1,kl_div,acorr_lag1,acorr_sum
145,0.011084,0.997684,1.000000,65527.484375,0.016214436,0.12539475,0.8583908,0.001409,0.829103,0.003294,0.000465,0.000356,0.008709
146,0.011083,0.997668,1.000000,65527.445312,0.01622644,0.12539336,0.8583802,0.001413,0.826862,0.005502,0.000468,0.000369,0.008772
147,0.011081,0.997653,1.000000,65527.406250,0.016238615,0.12539195,0.85836947,0.001430,0.815966,0.002743,0.000467,0.000381,0.008836
148,0.011079,0.997638,1.000000,65527.343750,0.016250955,0.12539048,0.85835856,0.001457,0.797626,0.002373,0.000465,0.000393,0.008901
149,0.011078,0.997622,1.000000,65527.281250,0.01626346,0.12538901,0.8583475,0.001457,0.797488,0.004713,0.000467,0.000406,0.008966
150,0.011076,0.997607,1.000000,65527.234375,0.01627613,0.12538752,0.8583363,0.001434,0.813306,0.003145,0.000468,0.000419,0.009033
151,0.011075,0.997591,1.000000,65527.187500,0.016288955,0.12538601,0.858325,0.001417,0.824080,0.002443,0.000475,0.000432,0.009100
152,0.011073,0.997576,1.000000,65527.125000,0.016301934,0.1253845,0.85831356,0.001409,0.829176,0.004884,0.000479,0.000445,0.009168
153,0.011072,0.997560,1.000000,65527.085938,0.016315062,0.12538294,0.85830194,0.001417,0.824079,0.005733,0.000482,0.000459,0.009236
154,0.011071,0.997544,1.000000,65527.023438,0.016328337,0.12538143,0.85829026,0.001418,0.823444,0.002970,0.000478,0.000472,0.009306
155,0.011069,0.997528,1.000000,65526.953125,0.016341755,0.12537983,0.8582784,0.001431,0.815197,0.003549,0.000481,0.000486,0.009376
156,0.011068,0.997512,1.000000,65526.898438,0.016355313,0.12537824,0.8582664,0.001423,0.820057,0.003504,0.000480,0.000499,0.009447
157,0.011066,0.997496,1.000000,65526.851562,0.016369006,0.12537666,0.8582543,0.001442,0.807367,0.005081,0.000484,0.000513,0.009518
158,0.011065,0.997481,1.000000,65526.789062,0.016382826,0.12537502,0.85824215,0.001458,0.796991,0.003298,0.000472,0.000527,0.009590
159,0.011064,0.997464,1.000000,65526.726562,0.016396767,0.1253734,0.8582299,0.001445,0.805724,0.004115,0.000471,0.000541,0.009662
160,0.011062,0.997448,1.000000,65526.656250,0.016410831,0.12537174,0.8582174,0.001417,0.823917,0.003257,0.000477,0.000556,0.009735
161,0.011061,0.997432,1.000000,65526.601562,0.016425015,0.12537007,0.8582049,0.001383,0.845902,0.004319,0.000469,0.000570,0.009808
162,0.011060,0.997416,1.000000,65526.531250,0.01643932,0.1253684,0.85819227,0.001390,0.841177,0.002096,0.000475,0.000585,0.009882
163,0.011058,0.997400,1.000000,65526.468750,0.016453741,0.12536673,0.85817957,0.001360,0.859945,0.003161,0.000470,0.000599,0.009957
164,0.011057,0.997384,1.000000,65526.414062,0.016468283,0.12536503,0.8581667,0.001361,0.859157,0.003213,0.000466,0.000614,0.010031
165,0.011056,0.997367,1.000000,65526.343750,0.016482946,0.12536334,0.8581537,0.001358,0.861036,0.003877,0.000459,0.000629,0.010107
166,0.011055,0.997351,1.000000,65526.265625,0.016497726,0.1253616,0.8581407,0.001367,0.855610,0.002274,0.000462,0.000644,0.010182
167,0.011054,0.997334,1.000000,65526.210938,0.016512625,0.12535986,0.8581275,0.001355,0.862735,0.002989,0.000458,0.000659,0.010258
168,0.011052,0.997318,1.000000,65526.125000,0.01652764,0.12535812,0.85811424,0.001355,0.862923,0.002835,0.000459,0.000674,0.010335
169,0.011051,0.997301,1.000000,65526.062500,0.01654278,0.12535635,0.8581009,0.001341,0.871108,0.002537,0.000455,0.000690,0.010412
170,0.011050,0.997285,1.000000,65526.000000,0.016558042,0.12535457,0.85808736,0.001329,0.877508,0.005842,0.000455,0.000705,0.010490
171,0.011049,0.997268,1.000000,65525.929688,0.016573431,0.12535278,0.8580738,0.001331,0.876592,0.003785,0.000453,0.000721,0.010568
172,0.011048,0.997251,1.000000,65525.828125,0.016588949,0.12535098,0.8580601,0.001327,0.878863,0.004081,0.000452,0.000736,0.010646
173,0.011047,0.997235,1.000000,65525.757812,0.016604599,0.12534915,0.85804623,0.001341,0.870724,0.002608,0.000455,0.000752,0.010726
174,0.011046,0.997218,1.000000,65525.679688,0.01662038,0.12534733,0.85803235,0.001355,0.862636,0.002935,0.000454,0.000768,0.010805
175,0.011045,0.997201,1.000000,65525.601562,0.016636295,0.12534547,0.8580182,0.001360,0.859661,0.002406,0.000445,0.000784,0.010886
176,0.011044,0.997184,1.000000,65525.523438,0.016652344,0.1253436,0.8580041,0.001379,0.848111,0.003585,0.000448,0.000801,0.010968
177,0.011042,0.997167,1.000000,65525.437500,0.01666852,0.12534173,0.8579898,0.001381,0.846932,0.004168,0.000440,0.000817,0.011054
178,0.011041,0.997150,1.000000,65525.359375,0.016684828,0.12533982,0.8579753,0.001416,0.824793,0.004152,0.000430,0.000834,0.011142
179,0.011040,0.997133,1.000000,65525.265625,0.016701268,0.12533793,0.8579608,0.001404,0.832276,0.002273,0.000420,0.000850,0.011231
180,0.011039,0.997115,1.000000,65525.187500,0.01671783,0.12533602,0.85794616,0.001400,0.835332,0.002269,0.000416,0.000867,0.011322
181,0.011038,0.997098,1.000000,65525.085938,0.016734509,0.12533408,0.85793144,0.001393,0.839287,0.005158,0.000419,0.000884,0.011413
