iter,loss,low_norm,mid_norm,high_norm,low_frac,mid_frac,high_frac
335,0.010964,0.248196,0.037108,0.065212,0.916264,0.020482,0.063254
336,0.010963,0.247723,0.037163,0.065110,0.916098,0.020617,0.063285
337,0.010963,0.247408,0.037060,0.065167,0.915905,0.020551,0.063544
338,0.010963,0.246845,0.037166,0.065107,0.915552,0.020755,0.063694
339,0.010963,0.246275,0.037159,0.065168,0.915092,0.020833,0.064075
340,0.010962,0.245821,0.037170,0.065189,0.914755,0.020915,0.064331
341,0.010962,0.245165,0.037214,0.065222,0.914233,0.021065,0.064703
342,0.010962,0.244696,0.037175,0.065208,0.913997,0.021096,0.064907
343,0.010962,0.244298,0.037196,0.065254,0.913635,0.021180,0.065184
344,0.010961,0.243688,0.037150,0.065338,0.913134,0.021222,0.065644
345,0.010961,0.243293,0.037138,0.065320,0.912922,0.021272,0.065806
346,0.010961,0.242821,0.037184,0.065436,0.912350,0.021395,0.066255
347,0.010961,0.242264,0.037145,0.065590,0.911737,0.021433,0.066830
348,0.010961,0.241887,0.037176,0.065600,0.911434,0.021529,0.067037
349,0.010960,0.241321,0.037223,0.065609,0.910988,0.021675,0.067337
350,0.010960,0.240835,0.037189,0.065759,0.910416,0.021709,0.067876
351,0.010960,0.240415,0.037138,0.065738,0.910226,0.021720,0.068054
352,0.010960,0.239967,0.037096,0.065774,0.909897,0.021744,0.068359
353,0.010959,0.239488,0.037188,0.065814,0.909394,0.021927,0.068679
354,0.010959,0.239095,0.037103,0.065796,0.909249,0.021895,0.068856
355,0.010959,0.238695,0.037113,0.065882,0.908797,0.021970,0.069233
356,0.010959,0.238227,0.037098,0.065894,0.908464,0.022031,0.069505
357,0.010958,0.237731,0.037160,0.065932,0.907977,0.022185,0.069839
358,0.010958,0.237240,0.037150,0.065882,0.907739,0.022258,0.070003
359,0.010958,0.236766,0.037092,0.065988,0.907261,0.022267,0.070472
360,0.010958,0.236348,0.037156,0.065967,0.906934,0.022414,0.070652
361,0.010957,0.235924,0.037272,0.066039,0.906361,0.022622,0.071017
362,0.010957,0.235536,0.037284,0.066104,0.905943,0.022700,0.071357
363,0.010957,0.234970,0.037195,0.066146,0.905546,0.022691,0.071762
364,0.010957,0.234519,0.037098,0.066287,0.905047,0.022647,0.072306
365,0.010956,0.234015,0.037207,0.066237,0.904655,0.022869,0.072477
366,0.010956,0.233637,0.037185,0.066343,0.904190,0.022904,0.072907
367,0.010956,0.233275,0.037237,0.066283,0.903982,0.023035,0.072983
368,0.010956,0.232866,0.037294,0.066410,0.903359,0.023170,0.073471
369,0.010956,0.232484,0.037173,0.066391,0.903245,0.023093,0.073662
370,0.010955,0.231909,0.037313,0.066447,0.902541,0.023365,0.074095
371,0.010955,0.231464,0.037274,0.066497,0.902146,0.023395,0.074459
